condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D1,0,Z0-south,34,4,1.0150364960301426,0.015036496030142565,0.022093096253086506,0.19591173448599805,0.26047662496244883,1.0635971533802442e-05,0.021790339513437923,0,0
D1,0,Z0-south,35,0,0.744234507083452,0.25576549291654804,0.09202507239812834,0.5739839851834886,3.4143884037124064,0.00018453397317613832,0.021790339513437923,0,0
D1,0,Z0-south,36,1,0.6567376166118458,0.3432623833881542,0.12120831553508758,0.7781436072346712,4.315732462317926,0.00032013180884490596,0.021790339513437923,0,0
D1,0,Z0-south,37,2,0.8643788589676531,0.1356211410323469,0.058445017278059376,0.4071615600745683,1.8147954912301172,7.443187848935231e-05,0.021790339513437923,0,0
D1,0,Z0-south,38,3,0.5155515372061147,0.4844484627938853,0.16439580287493208,1.0468778863338888,5.894661894628897,0.000588905279946434,0.021790339513437923,0,0
D1,0,Z0-south,39,4,1.0159580600132312,0.01595806001323119,0.022182153458533967,0.19623097922376928,0.26977284843202637,1.0721891496427777e-05,0.021790339513437923,0,0
D1,0,Z0-south,40,0,0.7428034855057136,0.2571965144942864,0.09249312108303295,0.5769464920615375,3.4309552236356553,0.0001864158631147648,0.021790339513437923,0,0
D1,0,Z0-south,41,1,0.6588438864682821,0.34115611353171793,0.12053318436180419,0.773851950805504,4.291630181374059,0.0003165754680565298,0.021790339513437923,0,0
D1,0,Z0-south,42,2,0.8626023503823214,0.13739764961767864,0.059012021888844114,0.4105643692972266,1.8371025105187533,7.588308639820563e-05,0.021790339513437923,0,0
D1,0,Z0-south,43,3,0.5163365111271452,0.4836634888728548,0.16415972331302733,1.0453671671292775,5.886053427523612,0.0005872151069303303,0.021790339513437923,0,0
D1,0,Z0-south,44,4,1.0189551026179853,0.018955102617985276,0.022509158440583567,0.19745038717730756,0.3017862848961128,1.1040341655224827e-05,0.021790339513437923,0,0
D1,0,Z0-south,45,0,0.7415978043979448,0.25840219560205524,0.09288732670992178,0.5794421798952614,3.4449089210425696,0.0001880082578864231,0.021790339513437923,0,0
D1,0,Z0-south,46,1,0.6592089287024325,0.34079107129756747,0.12041611132371192,0.7731077671032041,4.287450976088926,0.0003159607916455977,0.021790339513437923,0,0
D1,0,Z0-south,47,2,0.865611882109991,0.13438811789000904,0.05805182520336091,0.40480365170387855,1.799302483483091,7.34337581469098e-05,0.021790339513437923,0,0
D1,0,Z0-south,48,3,0.5114897905596313,0.4885102094403687,0.16561611850002303,1.0546873413581621,5.939170789152864,0.0005976806572376237,0.021790339513437923,0,0
D1,0,Z0-south,49,4,1.0158459553902404,0.015845955390240363,0.022171027569247905,0.1961907388408791,0.26862664955800625,1.0711138648495503e-05,0.021790339513437923,0,0
D1,0,Z0-south,50,0,0.7374643644646803,0.26253563553531967,0.09423779164163308,0.5879957380964305,3.492715475025394,0.00019351480546621268,0.021790339513437923,0,0
D1,0,Z0-south,51,1,0.6546211026614958,0.34537889733850424,0.1218860906012675,0.7824522982708055,4.339932341230746,0.000323722057684111,0.021790339513437923,0,0
D1,0,Z0-south,52,2,0.8640612740591892,0.1359387259408108,0.058546337317886415,0.40776939830561854,1.81878459193778,7.469017177592547e-05,0.021790339513437923,0,0
D1,0,Z0-south,53,3,0.5146400701141611,0.48535992988583887,0.16466982692060794,1.0486314524373441,5.904654839731443,0.0005908701561567463,0.021790339513437923,0,0
D1,0,Z0-south,54,4,1.0154954708274553,0.015495470827455282,0.02213676509502141,0.19606744095324058,0.2650701284563305,1.0678058851656631e-05,0.021790339513437923,0,0
D1,0,Z0-south,55,0,0.7405881923295055,0.25941180767049454,0.09321732658074706,0.5815317812309256,3.4565903449086477,0.0001893465009440603,0.021790339513437923,0,0
D1,0,Z0-south,56,1,0.6584940545954634,0.3415059454045366,0.12064536136753586,0.7745650189396877,4.295634698851136,0.0003171649988740133,0.021790339513437923,0,0
D1,0,Z0-south,57,2,0.8637434337292431,0.13625656627075688,0.05864775777413884,0.4083779360466804,1.8227763373266679,7.494916910591127e-05,0.021790339513437923,0,0
